"","featurekey","Module"
"1","HSP90AA1",2
"2","HSPH1",2
"3","PTGES3",2
"4","HSPD1",2
"5","CCL3",10
"6","RPS27",1
"7","CHORDC1",2
"8","HSPA1A",2
"9","DNAJB1",2
"10","F13A1",5
"11","RPS27A",1
"12","RPL32",1
"13","RPL19",1
"14","RPL11",1
"15","HSPB1",2
"16","RPS24",1
"17","MRC1",5
"18","RPLP2",1
"19","SIGLEC1",5
"20","RPS18",1
"21","SCN9A",5
"22","RPL37A",1
"23","TPT1",1
"24","CCL4",10
"25","ATP2C1",2
"26","RPLP1",1
"27","RPS6",1
"28","ACSL1",4
"29","LILRB5",5
"30","ELL2",4
"31","RPL23A",1
"32","P4HA1",2
"33","DNAJB6",2
"34","SELENOP",5
"35","FRMD4A",8
"36","P2RY12",8
"37","HIBCH",2
"38","RPS23",1
"39","GNA13",4
"40","RPS11",1
"41","SIPA1L1",4
"43","CD83",10
"44","RPS20",1
"45","FAM13A",9
"46","BAG3",2
"47","FKBP4",2
"48","FTL",1
"49","RPL13",1
"50","HIF1A",4
"51","RPS8",1
"52","SYNDIG1",8
"53","RPS15",1
"54","SYTL3",4
"55","RPS25",1
"56","SERPINH1",2
"57","PLIN2",6
"58","RAPGEF1",4
"59","UBC",2
"60","CCL4L2",10
"61","SRGN",4
"62","CX3CR1",8
"63","TMSB10",1
"64","AHCY",6
"65","COLEC12",5
"66","CREM",4
"67","HSP90AB1",2
"68","IER5",2
"69","RGS1",10
"70","DNAJA4",2
"72","ABHD3",2
"73","HSPE1-MOB4",2
"74","CD163",5
"75","DUSP1",10
"76","RGL1",5
"78","TNFRSF1B",4
"79","RPL23",1
"80","RPL37",1
"81","PADI2",4
"82","RASGEF1C",8
"83","RPL13A",1
"84","EPB41L3",4
"85","NACA",1
"86","DNAJA1",2
"87","RPL38",1
"88","LYVE1",5
"89","CCL3L3",10
"90","SLC11A1",4
"91","SLC16A10",6
"92","DLEU7",11
"93","IQGAP2",5
"94","ST13",2
"95","CYRIA",4
"96","STARD13",5
"97","GPNMB",5
"98","CPED1",2
"99","NAV3",8
"100","THBS1",6
"101","NAMPT",4
"102","EGR3",10
"103","MED12L",8
"104","RPL28",1
"105","FAU",1
"106","FTH1",1
"107","RPL3",1
"108","AIF1",1
"109","RIPK2",2
"110","CD200R1",5
"111","DOCK4",4
"112","VEGFA",4
"113","TNS1",6
"114","RPL27A",1
"115","RPL8",1
"116","FOSL2",4
"117","RPS14",1
"118","TMEM163",7
"119","EGR1",10
"120","ITSN1",5
"121","STIP1",2
"122","TGFBI",5
"123","CR1",5
"124","PLAUR",4
"125","CXCR4",4
"126","PLXDC2",8
"127","MAN2A1",4
"128","SORL1",8
"129","SNAP23",2
"130","PRKAG2",4
"131","H2AC6",10
"132","FAM110B",4
"133","APOE",1
"134","UBA52",1
"135","RPL35",1
"136","RPL14",1
"137","RBFOX1",6
"138","SPON1",11
"139","OPRM1",11
"140","DPYD",5
"141","FOS",10
"142","RPS19",1
